,Sampling p(meas = 1),# wrong decisions p0.05,# wrong decisions p0.1,# wrong decisions p0.2,# wrong decisions p0.3,# wrong decisions p0.4,# wrong decisions p0.5,# wrong decisions p0.6,# wrong decisions p0.7,# wrong decisions p0.8,# wrong decisions p0.9,# wrong decisions p1.0
circuit105.qasm,0.6186092227760895,38.0,51.0,35.0,43.0,42.0,44.0,41.0,46.0,59.0,49.0,44.0
circuit111.qasm,0.3102791308792041,41.0,37.0,32.0,33.0,30.0,39.0,31.0,42.0,37.0,52.0,48.0
circuit114.qasm,0.7499999999999997,24.0,31.0,31.0,35.0,32.0,38.0,39.0,47.0,38.0,47.0,51.0
circuit119.qasm,0.2919733047033635,27.0,27.0,37.0,31.0,40.0,39.0,43.0,48.0,40.0,47.0,52.0
circuit121.qasm,0.38872936963188087,36.0,38.0,50.0,36.0,40.0,40.0,41.0,50.0,40.0,50.0,53.0
circuit122.qasm,0.6421280324642585,31.0,35.0,36.0,36.0,35.0,45.0,41.0,56.0,48.0,45.0,51.0
circuit123.qasm,0.6319291547163131,38.0,34.0,49.0,39.0,52.0,37.0,41.0,41.0,44.0,47.0,58.0
circuit125.qasm,0.1418701528627665,19.0,13.0,25.0,27.0,33.0,31.0,51.0,35.0,47.0,44.0,49.0
circuit127.qasm,0.3630001537256544,37.0,32.0,42.0,45.0,44.0,40.0,39.0,50.0,54.0,47.0,52.0
circuit132.qasm,0.7042354345603976,28.0,31.0,36.0,31.0,36.0,33.0,42.0,47.0,50.0,56.0,50.0
circuit133.qasm,0.9095673531442079,14.0,15.0,18.0,16.0,23.0,24.0,30.0,34.0,39.0,41.0,39.0
circuit134.qasm,0.28488952738362483,31.0,33.0,33.0,37.0,41.0,36.0,36.0,43.0,43.0,53.0,43.0
circuit135.qasm,0.3705385327198012,34.0,38.0,44.0,36.0,44.0,46.0,42.0,43.0,47.0,47.0,54.0
circuit136.qasm,0.713388347648318,25.0,36.0,35.0,28.0,37.0,36.0,48.0,42.0,57.0,50.0,53.0
circuit137.qasm,0.24463834764831893,23.0,31.0,24.0,39.0,35.0,38.0,41.0,46.0,44.0,50.0,49.0
circuit145.qasm,0.6249999999999997,39.0,43.0,39.0,47.0,46.0,49.0,43.0,56.0,40.0,49.0,51.0
